num,Date,Open
361,2015-12-28,10
362,2015-12-29,15
363,2015-12-30,23
364,2015-12-31,7
365,2016-01-01,7
366,2016-01-02,13
367,2016-01-03,10
368,2016-01-04,6
369,2016-01-05,7
370,2016-01-06,12
371,2016-01-07,14
372,2016-01-08,11
373,2016-01-09,13
374,2016-01-10,9
375,2016-01-11,7
376,2016-01-12,13
377,2016-01-13,6
378,2016-01-14,10
379,2016-01-15,17
380,2016-01-16,18
381,2016-01-17,7
382,2016-01-18,15
383,2016-01-19,12
384,2016-01-20,4
385,2016-01-21,11
386,2016-01-22,13
387,2016-01-23,10
388,2016-01-24,5
389,2016-01-25,10
390,2016-01-26,5
391,2016-01-27,14
392,2016-01-28,7
393,2016-01-29,10
394,2016-01-30,13
395,2016-01-31,14
396,2016-02-01,8
397,2016-02-02,8
398,2016-02-03,17
399,2016-02-04,11
400,2016-02-05,13
401,2016-02-06,15
402,2016-02-07,8
403,2016-02-08,4
404,2016-02-09,7
405,2016-02-10,12
406,2016-02-11,10
407,2016-02-12,6
408,2016-02-13,8
409,2016-02-14,4
410,2016-02-15,8
411,2016-02-16,16
412,2016-02-17,12
413,2016-02-18,9
414,2016-02-19,9
415,2016-02-20,10
416,2016-02-21,6
417,2016-02-22,13
418,2016-02-23,12
419,2016-02-24,9
420,2016-02-25,9
421,2016-02-26,11
422,2016-02-27,16
423,2016-02-28,10
424,2016-02-29,5
425,2016-03-01,11
426,2016-03-02,15
427,2016-03-03,7
428,2016-03-04,6
429,2016-03-05,15
430,2016-03-06,5
431,2016-03-07,11
432,2016-03-08,8
433,2016-03-09,8
434,2016-03-10,8
435,2016-03-11,9
436,2016-03-12,2
437,2016-03-13,6
438,2016-03-14,9
439,2016-03-15,9
440,2016-03-16,15
441,2016-03-17,9
442,2016-03-18,10
443,2016-03-19,7
444,2016-03-20,10
445,2016-03-21,7
446,2016-03-22,16
447,2016-03-23,12
448,2016-03-24,10
449,2016-03-25,14
450,2016-03-26,7
451,2016-03-27,7
452,2016-03-28,15
453,2016-03-29,9
454,2016-03-30,13
455,2016-03-31,8
456,2016-04-01,12
457,2016-04-02,13
458,2016-04-03,9
459,2016-04-04,8
460,2016-04-05,10
461,2016-04-06,15
462,2016-04-07,13
463,2016-04-08,9
464,2016-04-09,16
465,2016-04-10,7
466,2016-04-11,15
467,2016-04-12,15
468,2016-04-13,11
469,2016-04-14,15
470,2016-04-15,12
471,2016-04-16,12
472,2016-04-17,10
473,2016-04-18,11
474,2016-04-19,8
475,2016-04-20,9
476,2016-04-21,10
477,2016-04-22,13
478,2016-04-23,10
479,2016-04-24,11
480,2016-04-25,10
481,2016-04-26,11
482,2016-04-27,16
483,2016-04-28,14
484,2016-04-29,10
485,2016-04-30,11
486,2016-05-01,6
487,2016-05-02,11
488,2016-05-03,8
489,2016-05-04,10
490,2016-05-05,10
491,2016-05-06,12
492,2016-05-07,14
493,2016-05-08,7
494,2016-05-09,13
495,2016-05-10,16
496,2016-05-11,11
497,2016-05-12,16
498,2016-05-13,11
499,2016-05-14,17
500,2016-05-15,9
501,2016-05-16,8
502,2016-05-17,13
503,2016-05-18,10
504,2016-05-19,11
505,2016-05-20,17
506,2016-05-21,9
507,2016-05-22,13
508,2016-05-23,14
509,2016-05-24,11
510,2016-05-25,7
511,2016-05-26,9
512,2016-05-27,8
513,2016-05-28,11
514,2016-05-29,11
515,2016-05-30,11
516,2016-05-31,4
517,2016-06-01,16
518,2016-06-02,7
519,2016-06-03,19
520,2016-06-04,8
521,2016-06-05,7
522,2016-06-06,12
523,2016-06-07,9
524,2016-06-08,9
525,2016-06-09,13
526,2016-06-10,17
527,2016-06-11,18
528,2016-06-12,5
529,2016-06-13,9
530,2016-06-14,11
531,2016-06-15,5
532,2016-06-16,11
533,2016-06-17,8
534,2016-06-18,9
535,2016-06-19,8
536,2016-06-20,8
537,2016-06-21,11
538,2016-06-22,7
539,2016-06-23,10
540,2016-06-24,11
541,2016-06-25,14
542,2016-06-26,9
543,2016-06-27,7
544,2016-06-28,9
545,2016-06-29,8
546,2016-06-30,14
547,2016-07-01,14
548,2016-07-02,11
549,2016-07-03,14
550,2016-07-04,7
551,2016-07-05,8
552,2016-07-06,8
553,2016-07-07,11
554,2016-07-08,14
555,2016-07-09,7
556,2016-07-10,7
557,2016-07-11,13
558,2016-07-12,8
559,2016-07-13,17
560,2016-07-14,8
561,2016-07-15,14
562,2016-07-16,9
563,2016-07-17,7
564,2016-07-18,10
565,2016-07-19,10
566,2016-07-20,8
567,2016-07-21,12
568,2016-07-22,15
569,2016-07-23,16
570,2016-07-24,14
571,2016-07-25,5
572,2016-07-26,9
573,2016-07-27,14
574,2016-07-28,15
575,2016-07-29,11
576,2016-07-30,11
577,2016-07-31,14
578,2016-08-01,9
579,2016-08-02,9
580,2016-08-03,6
581,2016-08-04,11
582,2016-08-05,9
583,2016-08-06,6
584,2016-08-07,7
585,2016-08-08,14
586,2016-08-09,14
587,2016-08-10,8
